Data,Clic,Impressioni,CTR,Posizione
2026-08-02,1,419,0.24%,26.6
2026-08-03,1,495,0.2%,23.2
2026-08-04,2,453,0.44%,24.3
2026-08-05,6,530,1.13%,25.3
2026-08-06,3,523,0.57%,24
2026-08-07,3,517,0.58%,22.4
2026-08-08,0,488,0%,21.4
2026-08-09,0,493,0%,22.1
2026-08-10,2,439,0.46%,19.4
2026-08-11,6,507,1.18%,23.1
2026-08-12,3,540,0.56%,26.5
2026-08-13,0,579,0%,25.3
2026-08-14,2,506,0.4%,26.7
2026-08-15,1,485,0.21%,26.8
2026-08-16,0,536,0%,26.3
2026-08-17,0,560,0%,25.3
2026-08-18,0,506,0%,26.2
2026-08-19,0,637,0%,26.9
2026-08-20,2,615,0.33%,24.4
2026-08-21,4,562,0.71%,24.9
2026-08-22,2,403,0.5%,30.4
2026-08-23,1,402,0.25%,30.2
2026-08-24,1,491,0.2%,25.4
2026-08-25,4,578,0.69%,23.5
2026-08-26,0,593,0%,26.1
2026-08-27,4,687,0.58%,26.5
2026-08-28,2,565,0.35%,25.7
2026-08-29,3,486,0.62%,25.6
