Paese,Clic,Impressioni,CTR,Posizione
Italia,50,11886,0.42%,27.32
Svizzera,1,36,2.78%,12.44
Romania,1,6,16.67%,11
Tanzania,1,4,25%,22.5
Stati Uniti,0,1541,0%,7.4
Emirati Arabi Uniti,0,145,0%,10.77
Regno Unito,0,85,0%,11.29
Germania,0,76,0%,15.04
Spagna,0,68,0%,41.99
India,0,53,0%,41.28
Paesi Bassi,0,47,0%,8.6
Giappone,0,43,0%,25.37
Francia,0,43,0%,31.65
Indonesia,0,39,0%,53.95
Canada,0,30,0%,12.6
Messico,0,30,0%,29.1
Russia,0,30,0%,39.43
Vietnam,0,22,0%,52.36
Argentina,0,20,0%,31.35
Polonia,0,19,0%,40.11
Egitto,0,17,0%,37.94
Filippine,0,17,0%,43.29
Brasile,0,16,0%,20.44
Pakistan,0,15,0%,38.27
Venezuela,0,14,0%,19.86
Turchia,0,14,0%,54.93
Ucraina,0,13,0%,72.31
Australia,0,12,0%,9.5
Portogallo,0,11,0%,8.18
Perù,0,11,0%,38.82
Malaysia,0,11,0%,61.55
Tailandia,0,10,0%,26.7
Marocco,0,10,0%,30.5
Corea del Sud,0,8,0%,20.5
Colombia,0,8,0%,33.25
Cina,0,7,0%,7.14
Austria,0,7,0%,15.43
Tunisia,0,6,0%,17
Belgio,0,6,0%,18.33
Grecia,0,6,0%,20.17
Ecuador,0,6,0%,21.5
Malta,0,6,0%,22.5
Irlanda,0,6,0%,54.33
Singapore,0,5,0%,22.2
San Marino,0,4,0%,5
Croazia,0,4,0%,6.25
Hong Kong,0,4,0%,12.25
Taiwan,0,4,0%,12.5
Bulgaria,0,4,0%,22
Arabia Saudita,0,4,0%,24.25
Bolivia,0,4,0%,32.25
Ghana,0,4,0%,34.75
Kazakistan,0,4,0%,35.75
Algeria,0,4,0%,67.5
Bangladesh,0,4,0%,75
Costa Rica,0,3,0%,5.33
Georgia,0,3,0%,12
Israele,0,3,0%,21.67
Danimarca,0,3,0%,31.67
Paraguay,0,3,0%,37.33
Sudafrica,0,3,0%,49.67
Oman,0,2,0%,3.5
Norvegia,0,2,0%,4
Albania,0,2,0%,5.5
Libano,0,2,0%,8.5
Siria,0,2,0%,10.5
Bosnia ed Erzegovina,0,2,0%,12.5
Lituania,0,2,0%,13.5
Svezia,0,2,0%,19
Cile,0,2,0%,22
Portorico,0,2,0%,22
Iran,0,2,0%,27
Togo,0,2,0%,28.5
Turkmenistan,0,2,0%,28.5
Ungheria,0,2,0%,49
Kenya,0,2,0%,50
Guatemala,0,2,0%,52
Nigeria,0,2,0%,53.5
Myanmar (Birmania),0,2,0%,54.5
Repubblica Dominicana,0,2,0%,68
Azerbaigian,0,2,0%,92.5
Andorra,0,1,0%,1
Giamaica,0,1,0%,1
Slovenia,0,1,0%,2
Barbados,0,1,0%,4
Armenia,0,1,0%,6
Lesotho,0,1,0%,6
Macedonia,0,1,0%,6
Panama,0,1,0%,6
Uruguay,0,1,0%,6
Zambia,0,1,0%,6
Islanda,0,1,0%,8
Nicaragua,0,1,0%,9
Nuova Zelanda,0,1,0%,9
Palestina,0,1,0%,11
Angola,0,1,0%,13
Liechtenstein,0,1,0%,17
Bielorussia,0,1,0%,18
Namibia,0,1,0%,26
Regione sconosciuta,0,1,0%,29
Costa d'Avorio,0,1,0%,34
Senegal,0,1,0%,45
Slovacchia,0,1,0%,49
Uzbekistan,0,1,0%,70
Belize,0,1,0%,83
Yemen,0,1,0%,85
Moldavia,0,1,0%,89
Sri Lanka,0,1,0%,92
Cipro,0,1,0%,97
