"Date","Citations","Cited Pages"
"8/8/2026 12:00:00 AM","0","0"
"8/9/2026 12:00:00 AM","2","1"
"8/10/2026 12:00:00 AM","0","0"
"8/11/2026 12:00:00 AM","6","1"
"8/12/2026 12:00:00 AM","1","1"
"8/13/2026 12:00:00 AM","0","0"
"8/14/2026 12:00:00 AM","3","1"
"8/15/2026 12:00:00 AM","0","0"
"8/16/2026 12:00:00 AM","0","0"
"8/17/2026 12:00:00 AM","0","0"
"8/18/2026 12:00:00 AM","0","0"
"8/19/2026 12:00:00 AM","0","0"
"8/20/2026 12:00:00 AM","0","0"
"8/21/2026 12:00:00 AM","0","0"
"8/22/2026 12:00:00 AM","0","0"
"8/23/2026 12:00:00 AM","0","0"
"8/24/2026 12:00:00 AM","0","0"
"8/25/2026 12:00:00 AM","3","1"
"8/26/2026 12:00:00 AM","9","1"
"8/27/2026 12:00:00 AM","0","0"
"8/28/2026 12:00:00 AM","0","0"
"8/29/2026 12:00:00 AM","0","0"
"8/30/2026 12:00:00 AM","0","0"
"8/31/2026 12:00:00 AM","7","5"
"9/1/2026 12:00:00 AM","37","12"
"9/2/2026 12:00:00 AM","30","14"
"9/3/2026 12:00:00 AM","25","11"
"9/4/2026 12:00:00 AM","41","11"
"9/5/2026 12:00:00 AM","25","8"
