"Date","Clicks","Impressions","Avg. CTR"
"8/8/2026 12:00:00 AM","0","0","0"
"8/9/2026 12:00:00 AM","0","1","0"
"8/10/2026 12:00:00 AM","0","0","0"
"8/11/2026 12:00:00 AM","0","0","0"
"8/12/2026 12:00:00 AM","0","3","0"
"8/13/2026 12:00:00 AM","0","4","0"
"8/14/2026 12:00:00 AM","0","0","0"
"8/15/2026 12:00:00 AM","0","1","0"
"8/16/2026 12:00:00 AM","0","0","0"
"8/17/2026 12:00:00 AM","0","2","0"
"8/18/2026 12:00:00 AM","0","1","0"
"8/19/2026 12:00:00 AM","0","0","0"
"8/20/2026 12:00:00 AM","0","0","0"
"8/21/2026 12:00:00 AM","0","0","0"
"8/22/2026 12:00:00 AM","0","0","0"
"8/23/2026 12:00:00 AM","0","0","0"
"8/24/2026 12:00:00 AM","0","1","0"
"8/25/2026 12:00:00 AM","0","3","0"
"8/26/2026 12:00:00 AM","0","1","0"
"8/27/2026 12:00:00 AM","0","1","0"
"8/28/2026 12:00:00 AM","0","0","0"
"8/29/2026 12:00:00 AM","0","0","0"
"8/30/2026 12:00:00 AM","0","0","0"
"8/31/2026 12:00:00 AM","0","13","0"
"9/1/2026 12:00:00 AM","0","40","0"
"9/2/2026 12:00:00 AM","0","46","0"
"9/3/2026 12:00:00 AM","0","59","0"
"9/4/2026 12:00:00 AM","1","42","2.38"
"9/5/2026 12:00:00 AM","0","29","0"
